spot_check_kind,neutral_case_id,neutral_row_id,semantic_role,file_path,chatgpt_label,claude_label,human_verdict,notes
disagreement,AI-CASE-007,AI-ROW-0094,omitted_candidate_file,cms/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-007,AI-ROW-0096,omitted_candidate_file,cms/models/pluginmodel.py,4_not_determinable,1_required,,
disagreement,AI-CASE-007,AI-ROW-0097,omitted_candidate_file,cms/utils/check.py,4_not_determinable,1_required,,
disagreement,AI-CASE-007,AI-ROW-0102,omitted_candidate_file,cms/management/commands/cms.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-007,AI-ROW-0103,omitted_candidate_file,cms/utils/compat/tests.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-008,AI-ROW-0107,omitted_candidate_file,cms/models/pagemodel.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-008,AI-ROW-0109,omitted_candidate_file,cms/utils/placeholder.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-008,AI-ROW-0116,omitted_candidate_file,cms/admin/pageadmin.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-010,AI-ROW-0131,omitted_candidate_file,cms/utils/permissions.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-010,AI-ROW-0134,omitted_candidate_file,cms/middleware/user.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-010,AI-ROW-0137,omitted_candidate_file,cms/toolbar/items.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-010,AI-ROW-0141,omitted_candidate_file,cms/middleware/page.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-010,AI-ROW-0145,omitted_candidate_file,cms/models/permissionmodels.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-011,AI-ROW-0146,omitted_candidate_file,cms/plugin_processors.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-011,AI-ROW-0149,omitted_candidate_file,cms/models/aliaspluginmodel.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-011,AI-ROW-0152,omitted_candidate_file,cms/plugin_pool.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-011,AI-ROW-0154,omitted_candidate_file,cms/plugin_base.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-013,AI-ROW-0173,omitted_candidate_file,cms/extensions/models.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-013,AI-ROW-0175,historical_changed_file,cms/utils/compat/__init__.py,1_required,2_related_optional,,
disagreement,AI-CASE-013,AI-ROW-0177,omitted_candidate_file,cms/models/settingmodels.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-013,AI-ROW-0179,historical_changed_file,cms/admin/forms.py,1_required,2_related_optional,,
disagreement,AI-CASE-013,AI-ROW-0180,omitted_candidate_file,cms/api.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-013,AI-ROW-0183,omitted_candidate_file,menus/models.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-013,AI-ROW-0185,historical_changed_file,cms/templatetags/cms_wizard_tags.py,1_required,2_related_optional,,
disagreement,AI-CASE-014,AI-ROW-0188,omitted_candidate_file,cms/cache/page.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-014,AI-ROW-0189,omitted_candidate_file,cms/menu_bases.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-014,AI-ROW-0198,omitted_candidate_file,menus/modifiers.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-014,AI-ROW-0200,omitted_candidate_file,menus/models.py,4_not_determinable,1_required,,
disagreement,AI-CASE-015,AI-ROW-0203,omitted_candidate_file,cms/models/pluginmodel.py,4_not_determinable,1_required,,
disagreement,AI-CASE-015,AI-ROW-0214,omitted_candidate_file,cms/wizards/views.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-015,AI-ROW-0216,omitted_candidate_file,cms/wizards/wizard_pool.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-015,AI-ROW-0217,omitted_candidate_file,cms/extensions/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-016,AI-ROW-0222,omitted_candidate_file,cms/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-016,AI-ROW-0225,omitted_candidate_file,cms/extensions/toolbar.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-016,AI-ROW-0231,omitted_candidate_file,cms/utils/helpers.py,4_not_determinable,2_related_optional,,
disagreement,AI-CASE-017,AI-ROW-0233,omitted_candidate_file,cms/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-017,AI-ROW-0234,omitted_candidate_file,cms/signals/permissions.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-017,AI-ROW-0236,omitted_candidate_file,cms/utils/permissions.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-017,AI-ROW-0238,omitted_candidate_file,cms/utils/page_permissions.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-017,AI-ROW-0239,omitted_candidate_file,cms/cms_toolbars.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-018,AI-ROW-0245,omitted_candidate_file,cms/templatetags/cms_tags.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-018,AI-ROW-0248,omitted_candidate_file,cms/utils/i18n.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-018,AI-ROW-0254,omitted_candidate_file,menus/templatetags/menu_tags.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-018,AI-ROW-0255,omitted_candidate_file,menus/menu_pool.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-019,AI-ROW-0262,omitted_candidate_file,cms/models/query.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-019,AI-ROW-0264,omitted_candidate_file,cms/cache/choices.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-019,AI-ROW-0266,omitted_candidate_file,cms/cache/permissions.py,4_not_determinable,2_related_optional,,
disagreement,AI-CASE-019,AI-ROW-0267,omitted_candidate_file,cms/models/metaclasses.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-019,AI-ROW-0271,omitted_candidate_file,cms/page_rendering.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-019,AI-ROW-0273,historical_changed_file,menus/menu_pool.py,1_required,2_related_optional,,
disagreement,AI-CASE-020,AI-ROW-0275,omitted_candidate_file,cms/admin/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-020,AI-ROW-0276,historical_changed_file,cms/cms_wizards.py,4_not_determinable,2_related_optional,,
disagreement,AI-CASE-020,AI-ROW-0280,historical_changed_file,cms/forms/wizards.py,4_not_determinable,2_related_optional,,
disagreement,AI-CASE-020,AI-ROW-0282,omitted_candidate_file,cms/south_migrations/0030_limit_visibility_in_menu_step3of3.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-020,AI-ROW-0284,omitted_candidate_file,cms/admin/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-020,AI-ROW-0285,historical_changed_file,cms/utils/permissions.py,4_not_determinable,2_related_optional,,
disagreement,AI-CASE-020,AI-ROW-0286,omitted_candidate_file,cms/admin/dialog/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-020,AI-ROW-0287,omitted_candidate_file,cms/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-021,AI-ROW-0288,omitted_candidate_file,cms/utils/copy_plugins.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-021,AI-ROW-0292,omitted_candidate_file,cms/cms_plugins.py,2_related_optional,4_not_determinable,,
disagreement,AI-CASE-021,AI-ROW-0296,omitted_candidate_file,cms/signals/plugins.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-021,AI-ROW-0300,omitted_candidate_file,cms/forms/fields.py,2_related_optional,3_incidental_tangled,,
disagreement,AI-CASE-022,AI-ROW-0302,omitted_candidate_file,cms/operations/__init__.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-022,AI-ROW-0303,omitted_candidate_file,cms/admin/pageadmin.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-022,AI-ROW-0310,omitted_candidate_file,cms/admin/forms.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-022,AI-ROW-0312,omitted_candidate_file,cms/wizards/helpers.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-023,AI-ROW-0313,omitted_candidate_file,cms/admin/dialog/forms.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0314,omitted_candidate_file,cms/middleware/utils.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0315,omitted_candidate_file,cms/cms_wizards.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0316,historical_changed_file,cms/models/pagemodel.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0317,omitted_candidate_file,cms/utils/helpers.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0318,omitted_candidate_file,cms/admin/change_list.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0319,historical_changed_file,cms/templatetags/cms_tags.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0320,omitted_candidate_file,cms/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0321,historical_changed_file,cms/utils/helpers.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0322,omitted_candidate_file,cms/admin/dialog/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0323,historical_changed_file,cms/models/placeholdermodel.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0324,historical_changed_file,cms/plugin_rendering.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0325,omitted_candidate_file,cms/admin/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-023,AI-ROW-0326,historical_changed_file,cms/cache/page.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0327,historical_changed_file,cms/cache/placeholder.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0329,historical_changed_file,cms/plugin_base.py,4_not_determinable,1_required,,
disagreement,AI-CASE-023,AI-ROW-0330,omitted_candidate_file,cms/toolbar/__init__.py,4_not_determinable,3_incidental_tangled,,
disagreement,AI-CASE-025,AI-ROW-0353,omitted_candidate_file,cms/management/commands/subcommands/mptt.py,3_incidental_tangled,4_not_determinable,,
disagreement,AI-CASE-025,AI-ROW-0361,omitted_candidate_file,cms/admin/pageadmin.py,3_incidental_tangled,4_not_determinable,,
agreement_sample,AI-CASE-024,AI-ROW-0333,historical_changed_file,cms/models/titlemodels.py,,,,
agreement_sample,AI-CASE-008,AI-ROW-0110,omitted_candidate_file,cms/south_migrations/0054_new_publisher_data.py,,,,
agreement_sample,AI-CASE-023,AI-ROW-0328,omitted_candidate_file,cms/cms_plugins.py,,,,
agreement_sample,AI-CASE-004,AI-ROW-0055,historical_changed_file,cms/wizards/views.py,,,,
agreement_sample,AI-CASE-015,AI-ROW-0212,omitted_candidate_file,cms/models/titlemodels.py,,,,
agreement_sample,AI-CASE-002,AI-ROW-0018,historical_changed_file,cms/utils/mail.py,,,,
agreement_sample,AI-CASE-015,AI-ROW-0209,historical_changed_file,cms/plugin_processors.py,,,,
agreement_sample,AI-CASE-024,AI-ROW-0342,omitted_candidate_file,cms/signals/placeholder.py,,,,
agreement_sample,AI-CASE-011,AI-ROW-0150,omitted_candidate_file,cms/exceptions.py,,,,
agreement_sample,AI-CASE-009,AI-ROW-0123,omitted_candidate_file,cms/admin/__init__.py,,,,
